Price,Close,High,Low,Open,Volume,label
Ticker,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,FLOKI-USD,0
2024-04-17,0.00013299999409355223,0.0001449999981559813,0.00013000000035390258,0.00014200000441633165,153806753,0
2024-04-18,0.00013800000306218863,0.00014099999680183828,0.00012799999967683107,0.00013299999409355223,135478159,0
2024-04-19,0.00013899999612476677,0.00014400000509340316,0.00012599999899975955,0.00013800000306218863,163421889,0
2024-04-20,0.00016599999798927456,0.00017299999308306724,0.00013600000238511711,0.00013899999612476677,247615220,0
2024-04-21,0.00017100000695791095,0.00017800000205170363,0.0001610000035725534,0.00016599999798927456,279138297,0
2024-04-22,0.00017600000137463212,0.00018099999579135329,0.00016900000628083944,0.00017100000695791095,223079261,0
2024-04-23,0.00019299999985378236,0.00020300000323913991,0.00016900000628083944,0.00017600000137463212,421969947,0
2024-04-24,0.0001849999971454963,0.00020500000391621143,0.00018000000272877514,0.00019299999985378236,334481581,0
2024-04-25,0.00018600000475998968,0.00019799999427050352,0.00017800000205170363,0.0001849999971454963,280719443,0
2024-04-26,0.0001829999964684248,0.00019500000053085387,0.00018000000272877514,0.00018600000475998968,196992342,0
2024-04-27,0.00017299999308306724,0.0001829999964684248,0.00016700000560376793,0.0001829999964684248,141873935,0
2024-04-28,0.00016999999934341758,0.00018200000340584666,0.00016900000628083944,0.00017299999308306724,119039062,0
2024-04-29,0.00016999999934341758,0.0001720000000204891,0.00016199999663513154,0.00016999999934341758,130507009,0
2024-04-30,0.000155999994603917,0.00017299999308306724,0.0001500000071246177,0.00016999999934341758,150275845,0
2024-05-01,0.00015900000289548188,0.00016599999798927456,0.00014400000509340316,0.000155999994603917,204249343,0
2024-05-02,0.00016399999731220305,0.00017100000695791095,0.00015100000018719584,0.00015900000289548188,201033668,0
2024-05-03,0.00017499999376013875,0.00017699999443721026,0.00016199999663513154,0.00016399999731220305,194530782,0
2024-05-04,0.00019200000679120421,0.00020199999562464654,0.00017499999376013875,0.00017499999376013875,373989664,0
2024-05-05,0.0001880000054370612,0.000195999993593432,0.00018600000475998968,0.00019200000679120421,178231182,0
2024-05-06,0.00017899999511428177,0.0001990000018849969,0.00017899999511428177,0.0001880000054370612,234555732,0
2024-05-07,0.0001720000000204891,0.00018400000408291817,0.0001720000000204891,0.00017899999511428177,131147481,0
2024-05-08,0.00016999999934341758,0.00017299999308306724,0.00016500000492669642,0.0001720000000204891,151118057,0
2024-05-09,0.00017899999511428177,0.00018400000408291817,0.00016799999866634607,0.00016999999934341758,185809837,0
2024-05-10,0.00016900000628083944,0.00018200000340584666,0.00016700000560376793,0.00017899999511428177,152345053,0
2024-05-11,0.00016999999934341758,0.00017499999376013875,0.00016900000628083944,0.00016900000628083944,96473089,0
2024-05-12,0.00016900000628083944,0.00017299999308306724,0.00016799999866634607,0.00016999999934341758,69729565,0
2024-05-13,0.0001829999964684248,0.00019500000053085387,0.00015900000289548188,0.00016900000628083944,366932805,0
